nohup: ignoring input
Device: cuda
Loading note model from /workspace/scripts/../models/pretrained/CRNN_note_F1=0.9677_pedal_F1=0.9186.pth
Building datasets...
Train segments: 57200, Val segments: 7342
Starting training (max_steps=70000, starting_step=0)
[step 2040/70000] loss=0.6009 lr=1.0e-05 (0.81s/step, ~15h21m left)
[step 2050/70000] loss=0.5934 lr=1.0e-05 (0.81s/step, ~15h22m left)
[step 2060/70000] loss=0.6025 lr=1.0e-05 (0.81s/step, ~15h20m left)
[step 2070/70000] loss=0.6013 lr=1.0e-05 (0.82s/step, ~15h30m left)
[step 2080/70000] loss=0.6107 lr=1.0e-05 (0.82s/step, ~15h27m left)
[step 2090/70000] loss=0.5804 lr=1.0e-05 (0.82s/step, ~15h25m left)
[step 2100/70000] loss=0.6058 lr=1.0e-05 (0.82s/step, ~15h24m left)
[step 2110/70000] loss=0.5825 lr=1.0e-05 (0.82s/step, ~15h23m left)
[step 2120/70000] loss=0.5710 lr=1.0e-05 (0.82s/step, ~15h26m left)
[step 2130/70000] loss=0.5976 lr=1.0e-05 (0.82s/step, ~15h22m left)
[step 2140/70000] loss=0.6024 lr=1.0e-05 (0.82s/step, ~15h23m left)
[step 2150/70000] loss=0.5897 lr=1.0e-05 (0.81s/step, ~15h19m left)
[step 2160/70000] loss=0.6034 lr=1.0e-05 (0.81s/step, ~15h20m left)
[step 2170/70000] loss=0.6030 lr=1.0e-05 (0.82s/step, ~15h24m left)
[step 2180/70000] loss=0.5938 lr=1.0e-05 (0.82s/step, ~15h24m left)
[step 2190/70000] loss=0.5845 lr=1.0e-05 (0.81s/step, ~15h17m left)
[step 2200/70000] loss=0.5999 lr=1.0e-05 (0.81s/step, ~15h18m left)
[step 2210/70000] loss=0.6077 lr=1.0e-05 (0.82s/step, ~15h21m left)
[step 2220/70000] loss=0.5971 lr=1.0e-05 (0.81s/step, ~15h18m left)
[step 2230/70000] loss=0.5970 lr=1.0e-05 (0.81s/step, ~15h18m left)
[step 2240/70000] loss=0.5991 lr=1.0e-05 (0.82s/step, ~15h22m left)
[step 2250/70000] loss=0.5990 lr=1.0e-05 (0.82s/step, ~15h26m left)
[step 2260/70000] loss=0.5753 lr=1.0e-05 (0.82s/step, ~15h27m left)
[step 2270/70000] loss=0.5982 lr=1.0e-05 (0.82s/step, ~15h25m left)
[step 2280/70000] loss=0.5878 lr=1.0e-05 (0.82s/step, ~15h27m left)
[step 2290/70000] loss=0.5975 lr=1.0e-05 (0.82s/step, ~15h25m left)
[step 2300/70000] loss=0.5926 lr=1.0e-05 (0.82s/step, ~15h21m left)
[step 2310/70000] loss=0.5927 lr=1.0e-05 (0.82s/step, ~15h25m left)
[step 2320/70000] loss=0.5805 lr=1.0e-05 (0.82s/step, ~15h28m left)
[step 2330/70000] loss=0.5829 lr=1.0e-05 (0.81s/step, ~15h17m left)
[step 2340/70000] loss=0.5751 lr=1.0e-05 (0.81s/step, ~15h17m left)
[step 2350/70000] loss=0.5896 lr=1.0e-05 (0.81s/step, ~15h18m left)
[step 2360/70000] loss=0.5682 lr=1.0e-05 (0.81s/step, ~15h17m left)
